,index,timePeriod,processedText
0,6909,1800-01-01,wale reformation completely establish inhabitant generally ignorant english tongue often attribute perhaps justly obligation clergy read liturgy welch tongue dispersion people interior clergy welch translation scripture
1,8466,1800-01-01,negro indifferent spectator process
2,8884,1800-01-01,
3,4943,1800-01-01,noble lord talk thus recollect men many take mean supply regular militia army
4,2054,1800-01-01,party give preference side yet result preference charge compel leave hear
5,5727,1800-01-01,gravely tell examination conduct person nation select presume natural ability superior men present attorney general chancellor exchequer lately attorney general assist reserve give advice step forth emergency rous watcher take slip failure turn best account unlearned woman submit process examination examination various time hour together incur displeasure order sudden sudden recall immediately proceed end humiliate confession baffle
6,7360,1800-01-01,admit cash balance hand collector instead l
7,167,1800-01-01,let endeavour ascertain much specie abuse exist much charge government much event likely correct call reform parliament
8,423,1800-01-01,indeed recommend noble lord majesty come describe noble lord fit man country fill office chancellor exchequer convenient step safety retire situation grossly abuse longer fill honour security seduce situation afterwards taper promised support saw minister choice acquire great stability popularity wish saw opening return power enter combination others mean also betray sole lust power office order remove dominion base appetite treat ridicule contempt man hold choice sovereign approbation public indeed merit contempt execration good men deserve tell hollow insincere support act mean base perfidious part
9,9047,1800-01-01,people applaud warm term
10,1831,1800-01-01,army reserve bill raise militia alone
11,5327,1800-01-01,certainly profess time principle bill
12,136,1800-01-01,short discussion take place leycester laurence attorney general smith wynne attorney general declare incline good proceed whole bill division certainly desirable burden impose measure confer benefit
13,8518,1800-01-01,come regular army ready meet noble lord charge minister avoid specific information subject know duty minister explicit subject possess information
14,8343,1800-01-01,duty expect
15,540,1800-01-01,threat appear throw view damp zeal exertion
16,9647,1800-01-01,existing duty
17,9673,1800-01-01,
18,6601,1800-01-01,part consider country impregnable lock volunteer force give pause france
19,6920,1800-01-01,frere letter tell john moore part spain latter pass least military represent population plain leon castile capable dispose resist enemy
20,7170,1800-01-01,line conduct pursue occasion
21,8648,1800-01-01,meantime give learn
22,2232,1800-01-01,idea act settlement subject judge jurisdiction formerly independent saw nothing act sanction idea direct contrary
23,1511,1800-01-01,hope able come conclusion course present sitting mass fresh evidence unexpectedly suddenly come committee consequence search capt
24,4386,1800-01-01,cuthbert account end march amount
25,6362,1800-01-01,make allowance find follow observe consider highly proper country oblige spain come distinct explanation
26,3111,1800-01-01,tenor former evening
27,1329,1800-01-01,impossible get profit foreigner arrangement bank detain lax dividend
28,6983,1800-01-01,purpose
29,8390,1800-01-01,always
30,3463,1800-01-01,object also point time bill
31,896,1800-01-01,lame reason indeed trust little weight
32,4181,1800-01-01,allow necessity require ready take strong step respect time militia present consider mitigation allow
