,index,timePeriod,sentiment
7,423,1800-01-01,0.355
55,6953,1800-01-01,0.16
61,2082,1800-01-01,0.195
63,7134,1800-01-01,0.172
79,4006,1800-01-01,0.204
88,1294,1800-01-01,0.31
117,1327,1800-01-01,0.0
167,7948,1800-01-01,0.301
168,7157,1800-01-01,0.12
185,9457,1800-01-01,0.05
203,2994,1800-01-01,0.383
219,3679,1800-01-01,0.279
267,5945,1800-01-01,0.0
268,8905,1800-01-01,0.209
302,8085,1800-01-01,0.094
324,8268,1800-01-01,0.353
334,7976,1800-01-01,0.219
363,8462,1800-01-01,0.159
380,6632,1800-01-01,0.0
426,1965,1800-01-01,0.201
441,3910,1800-01-01,0.183
442,4908,1800-01-01,0.0
507,3663,1800-01-01,0.0
511,9046,1800-01-01,0.383
518,8896,1800-01-01,0.447
556,8391,1800-01-01,0.0
591,191,1800-01-01,0.294
604,2268,1800-01-01,0.0
628,7082,1800-01-01,0.557
661,3102,1800-01-01,0.0
669,3957,1800-01-01,0.346
679,4320,1800-01-01,0.423
700,243,1800-01-01,0.0
712,1211,1800-01-01,0.0
717,2854,1800-01-01,0.186
728,9919,1800-01-01,0.0
742,7083,1800-01-01,0.147
778,3525,1800-01-01,0.179
786,5825,1800-01-01,0.133
852,6901,1800-01-01,0.333
854,779,1800-01-01,0.0
885,907,1800-01-01,0.217
892,2138,1800-01-01,0.158
895,4537,1800-01-01,0.0
921,4664,1800-01-01,0.27
930,681,1800-01-01,0.0
938,7071,1800-01-01,0.238
939,4269,1800-01-01,0.256
944,4666,1800-01-01,0.503
956,1580,1800-01-01,0.0
983,5949,1800-01-01,0.0
1076,1500,1800-01-01,0.291
1078,736,1800-01-01,0.219
1096,1070,1800-01-01,0.0
1100,9265,1800-01-01,0.115
1117,9732,1800-01-01,0.0
1139,9946,1800-01-01,0.0
1143,1613,1800-01-01,0.222
1191,8882,1800-01-01,0.0
1198,3424,1800-01-01,0.246
1218,965,1800-01-01,0.179
1233,1321,1800-01-01,0.093
1239,5411,1800-01-01,0.182
1282,5315,1800-01-01,0.618
1298,7807,1800-01-01,0.0
1331,6916,1800-01-01,0.439
1353,9136,1800-01-01,0.129
1373,8685,1800-01-01,0.176
1374,5778,1800-01-01,0.209
1395,7168,1800-01-01,0.182
1402,8367,1800-01-01,0.107
1410,8437,1800-01-01,0.126
1413,7585,1800-01-01,0.0
1430,5925,1800-01-01,0.206
1437,3678,1800-01-01,0.0
1447,9968,1800-01-01,0.625
1463,851,1800-01-01,0.28
1469,68,1800-01-01,0.18
1505,7033,1800-01-01,0.288
1522,7389,1800-01-01,0.0
1523,6954,1800-01-01,0.258
1524,2424,1800-01-01,0.226
1537,5384,1800-01-01,0.179
1564,9725,1800-01-01,0.412
1578,8577,1800-01-01,0.206
1608,547,1800-01-01,0.166
1609,2982,1800-01-01,0.15
1617,1413,1800-01-01,0.168
1631,2411,1800-01-01,0.0
1642,6298,1800-01-01,0.278
1652,8849,1800-01-01,0.0
1676,4195,1800-01-01,0.0
1679,2551,1800-01-01,0.0
1681,7589,1800-01-01,0.278
1693,1345,1800-01-01,0.151
1695,2995,1800-01-01,0.335
1723,2849,1800-01-01,0.274
1724,8272,1800-01-01,0.0
1726,3465,1800-01-01,0.0
1730,2297,1800-01-01,0.071
1739,383,1800-01-01,0.091
1749,8868,1800-01-01,0.31
1759,7980,1800-01-01,0.0
1769,853,1800-01-01,0.376
1773,4093,1800-01-01,0.0
1802,64,1800-01-01,0.503
1826,9812,1800-01-01,0.328
1844,3446,1800-01-01,0.16
1852,7523,1800-01-01,0.418
1876,8951,1800-01-01,0.213
1883,7129,1800-01-01,0.498
1924,7770,1800-01-01,0.24
